Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
3068.0,0.0024,0.17,16.12,0.0,10,M
3042.0,0.0005,0.1542,16.6,0.0,10,M
2600.0,0.0003,0.102,18.7,0.0,10,M
2800.0,0.0002,0.16,16.65,0.0,10,M
10467.934497816594,0.000138,0.103,20.06,0.0,10,M
2840.0,0.00065,0.11,16.98,0.0,10,M
2637.0,0.00073,0.127,17.22,0.0,10,M
2600.0,108436.8938025307,0.096,17.4,0.0,10,M
2650.0,0.00069,231.92623504310347,17.45,0.0,10,M
2700.0,0.00018,0.13,16.05,0.0,10,M
3600.0,0.0029,0.51,10.69,2.48471615720524,10,M
3129.0,0.0122,0.3761,11.79,1.0,10,M
3134.0,0.0004,0.196,13.21,1.0,10,M
3628.0,0.0055,0.393,10.48,1.0,10,M
2650.0,0.0006,0.14,11.782,1.0,10,M
3340.0,0.0038,0.24,13.07,1.0,10,M
2799.0,0.0018,0.16,14.79,1.0,10,M
3692.0,0.00367,0.47,10.8,1.0,10,M
3192.0,0.00362,0.1967,13.53,1.0,10,M
3441.0,0.039,231.92623504310347,11.18,1.0,10,M
25000.0,0.056,0.0084,10.58,2.0,2,B
7740.0,0.00049,0.01234,14.02,2.0,11,A
7220.0,0.00017,0.011,4.348561403508771,2.0,11,F
8500.0,0.0005,0.01,14.5,2.0,11,A
16500.0,0.013,0.014,4.348561403508771,2.0,2,B
12990.0,8.5e-05,0.00984,12.23,2.0,15,F
8570.0,0.00081,0.0097,14.2,2.0,3,A
7700.0,0.00011,0.0128,14.47,2.0,15,F
11790.0,0.00015,0.011,12.59,2.0,15,F
7230.0,8e-05,0.013,14.08,2.0,9,F
39000.0,204000.0,10.6,-4.7,3.0,0,O
30000.0,28840.0,6.3,-4.2,3.0,6,B
15276.0,1136.0,7.2,-1.97,3.0,6,B
9700.0,74.0,2.89,0.16,3.0,13,B
5800.0,0.81,0.9,5.05,3.0,10,F
8052.0,8.7,1.8,2.42,3.0,13,A
6757.0,1.43,1.12,2.41,3.0,17,F
6380.0,1.35,0.98,2.93,2.48471615720524,17,F
5936.0,1.357,1.106,4.46,3.0,17,F
5587.0,0.819,0.99,4.348561403508771,3.0,17,F
3826.0,200000.0,19.0,4.348561403508771,4.0,10,M
3365.0,340000.0,23.0,-6.2,4.0,10,M
3270.0,150000.0,88.0,-6.02,4.0,10,M
3200.0,195000.0,17.0,-7.22,4.0,10,M
3008.0,280000.0,25.0,-6.0,4.0,10,M
3600.0,320000.0,29.0,-6.6,4.0,10,M
3575.0,123000.0,45.0,-6.78,4.0,10,M
3574.0,200000.0,89.0,-5.24,4.0,10,M
3625.0,184000.0,84.0,-6.74,4.0,10,M
33750.0,220000.0,26.0,-6.1,2.48471615720524,0,B
3490.0,270000.0,1520.0,-9.4,5.0,10,M
3750.0,283000.0,1260.0,-7.63,5.0,10,M
3834.0,272000.0,1183.0,-9.2,5.0,10,M
3749.0,550000.0,231.92623504310347,-8.05,5.0,7,M
3650.0,310000.0,231.92623504310347,-7.79,5.0,10,M
3450.0,263000.0,1349.0,-11.75,5.0,10,M
3660.0,363000.0,1673.0,-11.92,5.0,10,M
3450.0,174000.0,1284.0,-11.28,5.0,10,M
3752.0,209000.0,955.0,-11.24,5.0,10,M
3535.0,195000.0,1546.0,-11.36,5.0,10,M
3341.0,0.0056,0.057,16.23,0.0,10,M
3432.0,0.00067,0.19,16.94,0.0,10,M
2983.0,108436.8938025307,0.094,16.09,0.0,10,M
2835.0,0.00034,0.0918,16.96,0.0,10,M
2935.0,0.00014,0.116,18.89,0.0,10,M
3295.0,0.00098,0.132,17.13,0.0,10,M
2945.0,0.00032,0.093,18.34,0.0,10,M
2817.0,0.00098,0.0911,16.45,0.0,10,M
2774.0,0.00036,0.118,17.39,0.0,10,M
2871.0,0.00072,0.12,19.43,2.48471615720524,10,M
3345.0,0.021,0.273,12.3,1.0,10,M
3607.0,0.022,0.38,10.12,1.0,10,M
3304.0,0.0085,231.92623504310347,13.2,1.0,10,M
3150.0,0.0088,0.35,11.94,1.0,10,M
3550.0,0.004,0.291,10.89,1.0,10,M
3180.0,0.001,0.35,11.76,1.0,10,M
10467.934497816594,0.0034,0.24,13.46,1.0,10,M
3342.0,0.0015,0.307,11.87,1.0,10,M
2621.0,0.0006,0.098,12.81,1.0,10,M
3158.0,0.00135,0.161,13.98,1.0,10,M
7100.0,0.00029,0.012,14.09,2.0,12,F
10574.0,108436.8938025307,0.0092,12.02,2.0,11,F
8930.0,0.00056,0.0095,13.78,2.0,16,A
10467.934497816594,0.00098,0.015,12.45,2.0,2,B
14100.0,0.00067,0.0089,12.17,2.0,2,B
9675.0,0.00045,0.0109,13.98,2.0,2,A
12010.0,0.00078,0.0092,12.13,2.0,2,B
10980.0,0.00074,0.0087,11.19,2.0,10,B
13720.0,0.00018,0.00892,12.97,2.0,16,F
19860.0,108436.8938025307,0.0131,11.34,2.0,1,B
5300.0,0.59,0.91,5.49,3.0,17,F
4526.0,0.153,0.865,6.506,3.0,18,K
4077.0,0.085,0.795,6.228,3.0,10,K
10467.934497816594,0.357,1.13,4.78,3.0,14,K
9030.0,45.0,2.63,1.45,3.0,6,M
11250.0,672.0,6.98,-2.3,3.0,6,A
5112.0,0.63,0.876,4.68,3.0,8,K
10467.934497816594,7.92,1.34,2.44,3.0,17,F
12098.0,108436.8938025307,7.01,0.02,3.0,6,A
36108.0,198000.0,10.2,-4.4,3.0,0,O
33300.0,240000.0,12.0,-6.5,4.0,0,M
40000.0,813000.0,14.0,-6.23,4.0,0,O
